"NOTIFICATION_ID","NOTIFICATION_TYPE","RECIPIENT","SUBJECT","BODY","SENT_AT","STATUS"
1086,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #964 on ONEY08053 needs human review. AI reason: Cost per kg is $2.2507, 8.8x the peer median of $0.2558, falling into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:10:34.701","SENT"
1087,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #965 on OOLU08350 needs human review. AI reason: Cost per kg is $2.2488, 8.79x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:10:43.192","SENT"
1088,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #966 on YMLU04126 needs human review. AI reason: Cost per kg is $2.239, 8.75x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:10:51.466","SENT"
1089,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #967 on OOLU02377 needs human review. AI reason: Cost per kg is 8.7x the peer median ($2.2261 vs $0.2558), falling into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:10:59.481","SENT"
1090,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #968 on MAEU04434 needs human review. AI reason: Cost per kg is $2.2189, 8.67x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:11:08.422","SENT"
1091,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #969 on CMDU01888 needs human review. AI reason: Cost per kg is $2.1955, 8.58x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:11:16.653","SENT"
1092,"WORKFLOW_RUN","system","Detection throttled - triage queue saturated","No new alerts created: open queue 268 has reached the limit 60.","2026-08-02 00:21:10.572","SENT"
1093,"WORKFLOW_RUN","system","Detection throttled - triage queue saturated","No new alerts created: open queue 268 has reached the limit 60.","2026-08-02 00:21:26.602","SENT"
1094,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #970 on OOLU05815 needs human review. AI reason: Cost per kg is $2.1653, 8.46x the median of $0.2558, falling in the ELEVATED band.","2026-08-02 00:21:34.318","SENT"
1095,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #971 on HLCU08119 needs human review. AI reason: Cost per kg is $2.1577, 8.44x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:21:44.778","SENT"
1096,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #940 on APZU04704 needs human review. AI reason: Cost per kg is $2.3026, 9x the peer median of $0.2558, falling into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:23:24.540","SENT"
1097,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #941 on APZU00644 needs human review. AI reason: Cost per kg is $2.3 (8.99x the peer median of $0.2558), placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:23:33.069","SENT"
1098,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #942 on OOLU00910 needs human review. AI reason: Cost per kg is $2.2982, 8.98x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:23:51.473","SENT"
1099,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #943 on HLCU07260 needs human review. AI reason: Cost per kg is $2.2732, 8.89x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:24:00.465","SENT"
1100,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #944 on APZU08106 needs human review. AI reason: Cost per kg is $2.2668, 8.86x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:24:09.819","SENT"
1101,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #945 on MAEU03498 needs human review. AI reason: Cost per kg is $2.261, 8.84x the peer median of $0.2558, falling within the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:24:17.993","SENT"
1102,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #946 on EGLV00925 needs human review. AI reason: Cost per kg is $2.2609, 8.84x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:24:28.670","SENT"
1103,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #947 on MSKU07149 needs human review. AI reason: Cost per kg is $2.2519, 8.8x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:24:37.645","SENT"
1104,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #918 on CMDU09798 needs human review. AI reason: Cost per kg is $2.3571, 9.21x the peer median of $0.2558, falling in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:27:22.807","SENT"
1105,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #919 on CMDU01854 needs human review. AI reason: Cost per kg is $2.3519, 9.19x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:27:32.982","SENT"
1106,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #920 on EGLV07994 needs human review. AI reason: Cost per kg is $2.3176, 9.06x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:27:41.221","SENT"
1107,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #921 on MSKU00457 needs human review. AI reason: Cost per kg is $2.3155, 9.05x the peer median of $0.2558, falling into the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:27:50.938","SENT"
1108,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #922 on MSKU00156 needs human review. AI reason: Cost per kg is $2.3099, 9.03x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:28:01.610","SENT"
1109,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #923 on HLCU07242 needs human review. AI reason: Cost per kg is $2.3079, 9.02x the peer median of $0.2558, placing it in the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-02 00:28:10.742","SENT"
1110,"WORKFLOW_RUN","system","Detection throttled - triage queue saturated","No new alerts created: open queue 188 has reached the limit 60.","2026-08-02 00:35:27.363","SENT"
1111,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #708 on MAEU2026011 needs human review. AI reason: Cost per kg is not computable and the container number contains prohibited characters.","2026-08-02 00:39:52.433","SENT"
1112,"WORKFLOW_RUN","system","Detection throttled - triage queue saturated","No new alerts created: open queue 108 has reached the limit 60.","2026-08-02 01:02:04.498","SENT"
1113,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 0. Thresholds - p99 charges $8406, p99 weight 44202kg, median cost/kg $0.2557.","2026-08-02 01:36:30.273","SENT"
1114,"WORKFLOW_RUN","system","Detection throttled - triage queue saturated","No new alerts created: open queue 63 has reached the limit 60.","2026-08-02 01:37:27.208","SENT"
1115,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment TESTFIXTURE-SHELLCO-01 blocked due to fraud alert #310. AI reason: BLOCK due to suspicious counterparty names: 'SUSPICIOUS TRADING CO' and 'SHELL CORP INTL'.","2026-08-02 01:37:34.217","SENT"
1116,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment TESTFIXTURE-SHELLCO-02 blocked due to fraud alert #408. AI reason: Counterparty names indicate shell/front companies (SUSPICIOUS TRADING CO, SHELL CORP INTL).","2026-08-02 01:37:41.480","SENT"
1200,"WORKFLOW_RUN","system","Detection throttled - triage queue saturated","No new alerts created: open queue 62 has reached the limit 60.","2026-08-02 03:23:36.433","SENT"
1201,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment TESTFIXTURE-SHELLCO-01 blocked due to fraud alert #310. AI reason: BLOCK due to suspicious counterparty names: 'SUSPICIOUS TRADING CO' and 'SHELL CORP INTL'.","2026-08-02 03:23:44.074","SENT"
1202,"FRAUD_BLOCK","compliance@vflogistics.com","Shipment Blocked","BLOCKED: Shipment TESTFIXTURE-SHELLCO-02 blocked due to fraud alert #408. AI reason: BLOCK due to suspicious counterparty names: SUSPICIOUS TRADING CO and SHELL CORP INTL.","2026-08-02 03:23:51.270","SENT"
1500,"WORKFLOW_RUN","system","Detection scan completed","New alerts: 24. Open HIGH severity: 0. Thresholds - p99 charges $8406, p99 weight 44202kg, median cost/kg $0.2557.","2026-08-16 21:34:25.461","SENT"
1501,"WORKFLOW_RUN","system","Detection throttled - triage queue saturated","No new alerts created: open queue 82 has reached the limit 60.","2026-08-16 22:55:46.625","SENT"
1502,"WORKFLOW_RUN","system","Detection throttled - triage queue saturated","No new alerts created: open queue 81 has reached the limit 60.","2026-08-16 23:22:16.706","SENT"
800,"WORKFLOW_RUN","system","Detection completed","New alerts: 15. HIGH open: 0","2026-08-17 22:32:05.881","SENT"
900,"WORKFLOW_RUN","system","Detection completed","New alerts: 8. HIGH open: 0","2026-08-18 06:48:19.959","SENT"
1000,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 06:51:14.103","SENT"
901,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 06:56:14.239","SENT"
1001,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:01:14.100","SENT"
1002,"WORKFLOW_RUN","system","Detection completed","New alerts: 8. HIGH open: 0","2026-08-18 07:06:16.372","SENT"
1003,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:11:13.749","SENT"
1004,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:16:14.100","SENT"
902,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:21:13.976","SENT"
1005,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:26:14.076","SENT"
903,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:26:16.632","SENT"
1006,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1240 on OOLU03753 - The cost per kg band is ELEVATED_BETWEEN_5X_AND_10X_MEDIAN, which mandates escalation for human judgment.","2026-08-18 07:26:23.455","SENT"
904,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1240 on OOLU03753 - The cost per kg band is ELEVATED_BETWEEN_5X_AND_10X_MEDIAN, which mandates escalation for human judgment.","2026-08-18 07:26:30.745","SENT"
905,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:27:31.376","SENT"
906,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1241 on HLCU07804 - Cost per kg is elevated and falls within the ELEVATED_BETWEEN_5X_AND_10X_MEDIAN band.","2026-08-18 07:27:38.359","SENT"
1007,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:31:14.143","SENT"
1008,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1242 on OOLU00187 - ELEVATED_BETWEEN_5X_AND_10X_MEDIAN cost band","2026-08-18 07:31:23.720","SENT"
907,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:36:14.292","SENT"
908,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1243 on YMLU08226 - Cost per kg is ELEVATED_BETWEEN_5X_AND_10X_MEDIAN","2026-08-18 07:36:22.311","SENT"
1100,"WORKFLOW_RUN","system","Detection completed","New alerts: 8. HIGH open: 0","2026-08-18 07:41:17.473","SENT"
1101,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1400 on EGLV08541 - The cost per kg band is ELEVATED, which mandates escalation for human judgment.","2026-08-18 07:41:27.001","SENT"
1009,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:46:13.991","SENT"
1010,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1401 on ONEY09472 - Cost per kg is elevated and requires human judgment.","2026-08-18 07:46:28.002","SENT"
1011,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 0","2026-08-18 07:48:18.051","SENT"
1012,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 2","2026-08-18 07:51:13.920","SENT"
1013,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1402 on EGLV07306 - Cost per kg is elevated and requires human judgment.","2026-08-18 07:51:21.049","SENT"
1102,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 2","2026-08-18 07:56:14.132","SENT"
1103,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1403 on MAEU01432 - Cost per kg is elevated and requires human judgment.","2026-08-18 07:56:40.162","SENT"
1014,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 2","2026-08-18 08:01:14.096","SENT"
1015,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1404 on CMDU09820 - ELEVATED_BETWEEN_5X_AND_10X_MEDIAN","2026-08-18 08:03:41.037","SENT"
1016,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 2","2026-08-18 08:06:13.874","SENT"
1017,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1405 on OOLU00878 - ELEVATED_BETWEEN_5X_AND_10X_MEDIAN","2026-08-18 08:06:22.487","SENT"
1018,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 2","2026-08-18 08:11:14.192","SENT"
1019,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1406 on HLCU04594 - The cost per kg is elevated, requiring human judgement.","2026-08-18 08:11:33.074","SENT"
1020,"WORKFLOW_RUN","system","Detection throttled","New alerts: 0. HIGH open: 2","2026-08-18 08:16:14.101","SENT"
1021,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1407 on EGLV07522 - The cost per kg band is ELEVATED_BETWEEN_5X_AND_10X_MEDIAN, which mandates escalation for human judgment.","2026-08-18 08:16:22.859","SENT"
1104,"WORKFLOW_RUN","system","Detection completed","New alerts: 8. HIGH open: 2","2026-08-18 08:22:04.966","SENT"
1105,"FRAUD_ESCALATE","compliance@vflogistics.com","Alert Escalated","Alert #1408 on OOLU00578 - Cost per kg is elevated and falls between 5x and 10x the median.","2026-08-18 08:22:12.822","SENT"
1301,"WORKFLOW_RUN","system","Detection completed","New alerts: 8. HIGH open: 4","2026-08-18 22:10:05.092","SENT"
